,Year,Daily caloric intake per person that comes from animal protein,Daily caloric intake per person that comes from vegetal protein,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
0,1961,55.12887,290.84247,343.88312,2365.0508
1,1962,54.959705,283.3605,345.0169,2289.9097
2,1963,57.9322,256.69678,354.04938,2083.1013
3,1964,58.493233,282.30234,357.7251,2314.9219
4,1965,61.00857,281.43982,365.04077,2310.2708
5,1966,65.80247,257.53232,367.15204,2104.3413
6,1967,68.50043,279.6794,384.62558,2301.065
7,1968,71.368034,272.15448,385.9573,2250.6157
8,1969,70.29651,276.64682,381.84622,2271.7957
9,1970,62.656025,235.74893,349.628,1947.9509
10,1971,58.835983,240.07217,325.4481,1957.6841
11,1972,54.512486,258.1193,321.62778,2107.9124
12,1973,57.724724,262.2836,346.10022,2146.7722
13,1974,58.48563,259.9591,361.18185,2125.7395
14,1975,58.89143,262.36835,371.22043,2148.8455
15,1976,61.96698,266.75073,389.14893,2192.891
16,1977,59.5849,232.66876,355.04382,1909.6755
17,1978,59.578648,245.08861,353.67682,2015.5537
18,1979,59.82116,242.7555,367.59384,2005.4485
19,1980,63.71168,234.66502,380.46512,1936.7568
20,1981,73.63376,256.32358,451.52975,2105.3374
21,1982,81.60268,271.95883,509.90402,2242.3452
22,1983,82.52,268.9158,512.05945,2241.4612
23,1984,76.838104,244.81729,477.31042,2038.4891
24,1985,65.5402,228.68881,452.7604,1888.4373
25,1986,55.402187,224.23872,456.2273,1847.7275
26,1987,60.230034,267.3699,399.41513,2195.5776
27,1988,62.195297,236.56273,412.46808,1959.3958
28,1989,62.877804,222.46805,483.43613,1818.1604
29,1990,74.368996,216.17465,477.80432,1769.8503
30,1991,76.24595,203.85461,434.37656,1684.641
31,1992,68.45611,182.27469,392.90094,1522.5414
32,1993,63.32776,183.00465,322.62048,1500.7942
33,1994,64.039055,169.88907,306.03073,1401.2222
34,1995,64.95041,161.99045,391.95175,1356.2253
35,1996,68.93811,164.65916,376.4899,1373.8749
36,1997,72.581856,170.4412,329.50537,1431.2783
37,1998,74.68542,168.9805,337.50766,1425.1273
38,1999,75.287735,157.67262,355.04352,1333.6595
39,2000,62.386784,159.21275,304.8311,1359.9265
40,2001,48.011936,167.36952,263.08978,1404.8804
41,2002,60.30684,165.27287,284.98788,1419.9701
42,2003,53.97954,168.71669,275.52228,1433.1221
43,2004,54.45525,170.91199,320.7659,1459.778
44,2005,53.039635,164.9443,336.84445,1429.0658
45,2006,45.45349,169.96704,282.24078,1482.8698
46,2007,46.628727,181.26611,293.7793,1559.5702
47,2008,48.28019,184.73311,273.60138,1581.0535
48,2009,47.27052,186.65378,279.73785,1591.8994
49,2010,49.839996,213.19998,342.53998,1602.4197
50,2011,48.36001,207.48003,323.82004,1599.3401
51,2012,49.559994,201.87997,337.05,1584.5098
52,2013,48.839993,204.75996,343.34995,1614.0498
53,2014,58.799995,204.03998,377.45996,1635.6998
54,2015,50.76,205.56,351.27,1649.45
55,2016,48.72,211.04,374.76,1610.44
56,2017,47.080006,214.60002,368.19003,1681.1299
57,2018,44.679993,207.03996,378.71994,1634.5195
58,2019,40.880005,203.04001,376.92004,1607.1602
59,2020,44.239994,209.15997,377.63992,1634.96
60,2021,41.92,200.88,381.96,1573.24
